# airline	from	to	codeshare	stops	equipment
# Date: 2014-06-28
3K	MNL	KIX		0	320
3K	MNL	SIN		0	320
3K	PEN	SIN		0	320
3K	PER	SIN		0	320
3K	PNH	SIN		0	320
3K	REP	SIN		0	320
3K	RGN	SIN		0	320
3K	SGN	SIN		0	320
3K	SIN	BKK		0	320
3K	SIN	DRW		0	320
3K	SIN	HAK		0	320
3K	SIN	HGH		0	320
3K	SIN	HKG		0	320
3K	SIN	HKT		0	320
3K	SIN	KUL		0	320
3K	SIN	MNL		0	320
3K	SIN	PEN		0	320
3K	SIN	PER		0	320
3K	SIN	PNH		0	320
3K	SIN	REP		0	320
3K	SIN	RGN		0	320
3K	SIN	SGN		0	320
3K	SIN	SWA		0	320
3K	SIN	TPE		0	320
3K	SWA	SIN		0	320
3K	TPE	KIX		0	320
3K	TPE	SIN		0	320
3L	ACH	EBA		0	DH3
3L	DRS	ZRH		0	DH3
3L	DUS	FDH		0	DH3
3L	EBA	ACH		0	DH3
3L	EBA	FDH		0	DH3
3L	EBA	MUC		0	DH3
3L	EBA	ZRH		0	DH3
3L	FDH	DUS		0	DH3
3L	FDH	EBA		0	DH3
3L	FDH	HAM		0	AT7
3L	FDH	OLB		0	AT7
3L	FDH	TXL		0	AT7
3L	FDH	ZAD		0	AT7
3L	FMM	NAP		0	AT7
3L	GRZ	ZRH		0	DH3
3L	HAM	FDH		0	AT7
3L	MUC	EBA		0	DH3
3L	NAP	FMM		0	AT7
3L	OLB	FDH		0	AT7
3L	SZG	ZRH		0	DH3
3L	TXL	FDH		0	AT7
3L	ZAD	FDH		0	AT7
3L	ZRH	DRS		0	DH3
3L	ZRH	EBA		0	DH3
3L	ZRH	GRZ		0	DH3
3L	ZRH	SZG		0	DH3
3M	ATL	LWB		0	SF3
3M	ATL	MCN		0	SF3
3M	ATL	MEI		0	SF3
3M	ATL	MSL		0	SF3
3M	ATL	PIB		0	SF3
3M	ATL	TUP		0	SF3
3M	BIM	FLL		0	SF3
3M	ELH	FLL		0	SF3
3M	ELH	PBI		0	SF3
3M	EYW	FLL		0	SF3
3M	EYW	RSW		0	SF3
3M	EYW	TPA		0	SF3
3M	FLL	BIM		0	SF3
3M	FLL	ELH		0	SF3
3M	FLL	EYW		0	SF3
3M	FLL	FPO		0	SF3
3M	FLL	GGT		0	SF3
3M	FLL	GHB		0	SF3
3M	FLL	MCO		0	SF3
3M	FLL	MHH		0	SF3
3M	FLL	TCB		0	SF3
3M	FLL	TPA		0	SF3
3M	FPO	FLL		0	SF3
3M	GGT	FLL		0	SF3
3M	GGT	GHB		0	SF3
3M	GHB	FLL		0	SF3
3M	GLH	TUP		0	SF3
3M	GNV	MCO		0	SF3
3M	GNV	TPA		0	SF3
3M	JAX	MHH		0	SF3
3M	JAX	TPA		0	SF3
3M	LWB	ATL		0	SF3
3M	MCN	ATL		0	SF3
3M	MCN	MCO		0	SF3
3M	MCO	FLL		0	SF3
3M	MCO	GNV		0	SF3
3M	MCO	MCN		0	SF3
3M	MCO	MHH		0	SF3
3M	MCO	PNS		0	SF3
3M	MCO	RSW		0	SF3
3M	MCO	TLH		0	SF3
3M	MEI	ATL		0	SF3
3M	MHH	FLL		0	SF3
3M	MHH	JAX		0	SF3
3M	MHH	MCO		0	SF3
3M	MHH	PBI		0	SF3
3M	MSL	ATL		0	SF3
3M	PBI	ELH		0	SF3
3M	PBI	MHH		0	SF3
3M	PBI	TPA		0	SF3
3M	PIB	ATL		0	SF3 
3M	PNS	MCO		0	SF3
3M	PNS	TPA		0	SF3
3M	RSW	EYW		0	SF3
3M	RSW	MCO		0	SF3
3M	TCB	FLL		0	SF3
3M	TLH	MCO		0	SF3
3M	TLH	TPA		0	SF3
3M	TPA	EYW		0	SF3
3M	TPA	FLL		0	SF3
3M	TPA	GNV		0	SF3
3M	TPA	JAX		0	SF3
3M	TPA	PBI		0	SF3
3M	TPA	PNS		0	SF3
3M	TPA	TLH		0	SF3
3M	TUP	ATL		0	SF3 
3M	TUP	GLH		0	SF3
3O	AMS	NDR		0	320
3O	AMS	TNG		0	320
3O	BCN	CMN		0	320
3O	BCN	NDR		0	320
3O	BCN	TNG		0	320
3O	BGY	CMN		0	320
3O	BLQ	CMN		0	320
3O	BRU	CMN		0	320
3O	BRU	NDR		0	320
3O	BRU	TNG		0	320
3O	CGN	NDR		0	320
3O	CMN	BCN		0	320
3O	CMN	BGY		0	320
3O	CMN	BLQ		0	320
3O	CMN	BRU		0	320
3O	CMN	CUF		0	320
3O	CMN	LGW		0	320
3O	CMN	LYS		0	320
3O	CMN	MPL		0	320
3O	CMN	SAW		0	320
3O	CMN	TLS		0	320
3O	CMN	TSF		0	320
3O	CUF	CMN		0	320
3O	FEZ	MPL		0	320
3O	LGW	CMN		0	320
3O	LGW	TNG		0	320
3O	LYS	CMN		0	320
3O	MPL	CMN		0	320
3O	MPL	FEZ		0	320
3O	MPL	NDR		0	320
3O	NDR	AMS		0	320
3O	NDR	BCN		0	320
3O	NDR	BRU		0	320
3O	NDR	CGN		0	320
3O	NDR	MPL		0	320
3O	NDR	PMI		0	320
3O	PMI	NDR		0	320
3O	SAW	CMN		0	320
3O	TLS	CMN		0	320
3O	TNG	AMS		0	320
3O	TNG	BCN		0	320
3O	TNG	BRU		0	320
3O	TNG	LGW		0	320
3O	TSF	CMN		0	320
3P	AUA	LSP		0	SH6
3P	AUA	MAR		0	SH6
3P	BON	CUR		0	SH6
3P	CUR	AUA		0	SH6
3P	LSP	AUA		0	SH6
3P	MAR	AUA		0	SH6
3R	ASF	DME		0	SU9
3R	ASF	LED		0	SU9
3R	BHK	DME		0	734
3R	DME	ASF		0	SU9
3R	DME	BHK		0	734
3R	DME	EGO		0	SU9
3R	DME	FEG		0	734
3R	DME	KSQ		0	734
3R	DME	NMA		0	734
3R	DME	NVI		0	734
3R	DME	SKD		0	734
3R	DME	TIV		0	SU9 73G
3R	EGO	DME		0	SU9
3R	FEG	DME		0	734
3R	KSQ	DME		0	734
3R	LED	ASF		0	SU9
3R	NMA	DME		0	734
3R	NVI	DME		0	734
3R	SKD	DME		0	734
3R	TIV	DME		0	SU9 73G
3S	ANU	PTP		0	AT5
